alpha,beta,gamma,num_samples,top1,top3,macro_f1,success_rate,avg_latency_ms,source_local_hybrid,source_failed
0.5,0.35,0.15,110,0.7545,0.9727,0.7479,1.0,35.35,110,0
0.5,0.4,0.1,110,0.7545,0.9727,0.7479,1.0,33.03,110,0
0.6,0.3,0.1,110,0.7545,0.9727,0.7479,1.0,34.8,110,0
0.6,0.35,0.05,110,0.7545,0.9727,0.7479,1.0,32.36,110,0
0.6,0.4,0.0,110,0.7545,0.9727,0.7479,1.0,33.8,110,0
0.7,0.3,0.0,110,0.7545,0.9727,0.7479,1.0,33.61,110,0
0.5,0.3,0.2,110,0.7545,0.9636,0.7479,1.0,209.46,110,0
0.6,0.25,0.15,110,0.7545,0.9636,0.7479,1.0,34.83,110,0
0.7,0.25,0.05,110,0.7455,0.9727,0.7406,1.0,36.68,110,0
0.6,0.2,0.2,110,0.7455,0.9636,0.7406,1.0,33.19,110,0
0.8,0.2,-0.0,110,0.7364,0.9636,0.7303,1.0,32.97,110,0
0.9,0.1,-0.0,110,0.7364,0.9636,0.7303,1.0,34.83,110,0
0.7,0.15,0.15,110,0.7364,0.9545,0.7303,1.0,33.06,110,0
0.8,0.1,0.1,110,0.7364,0.9455,0.7303,1.0,36.61,110,0
0.8,0.15,0.05,110,0.7364,0.9455,0.7303,1.0,32.84,110,0
0.7,0.1,0.2,110,0.7364,0.9364,0.7303,1.0,36.15,110,0
0.8,0.05,0.15,110,0.7364,0.9364,0.7303,1.0,32.23,110,0
0.9,0.05,0.05,110,0.7364,0.9364,0.7303,1.0,34.65,110,0
0.7,0.2,0.1,110,0.7364,0.9636,0.7297,1.0,33.59,110,0
